Id,TagName,Count,ExcerptPostId,WikiPostId,IsModeratorOnly,IsRequired
"444","model-view-controller","32068","4890099","4890098","",""
"445","datacontext","1446","6075670","6075669","",""
"448","cpu","4268","5188063","5188062","",""
"450","macros","12517","5012833","5012832","",""
"451","double","7808","5435813","5435812","",""
"452","int","9794","8683108","8683107","",""
"454","project-hosting","31","","","",""
"456","version-control","16422","3933491","3933490","",""
"457","dll","24579","5123223","5123222","",""
"458","tdd","5959","3624976","3607615","",""
"459","rss","7598","4998411","4998410","",""
"460","mvp","1948","5044695","5044694","",""
"463","coldfusion","13750","3625252","3607120","",""
"469","checkbox","28333","5289719","5289718","",""
"470","asp.net-mvc","195464","3625253","3607478","",""
"477","clr","3815","5122630","5122629","",""
"485","bdd","3158","4479765","4479764","",""
"487","build-automation","1812","8364338","8364337","",""
"488","console","12912","5134981","5134980","",""
"491","datatable","20589","5829793","5829792","",""
"492","resharper","4733","3626623","3626622","",""
"493","backup","5456","5642094","5642093","",""
"494","vbscript","18411","3625254","3621561","",""
"495","powerbuilder","1264","3625255","3611740","",""
"496","textwrangler","178","10507948","10507947","",""
"503","monads","3230","5057222","5057221","",""
"506","graphics","19385","5695352","5695351","",""
"508","agile","1045","4998356","4998355","",""
"511","concurrency","20376","4774687","4774686","",""
"514","diagram","1677","5078906","5078905","",""
"516","obfuscation","2843","5187702","5187701","",""
"517","treeview","8922","5289633","5289632","",""
"518","forum","874","7965566","7965565","",""
"519","video","32275","5006599","5006598","",""
"520","streaming","6916","6189684","6189683","",""
"521","payment","3039","10453631","10453630","",""
"522","excel","250637","3625256","3613237","",""
"523","grid","10874","6186129","6186128","",""
"524","clipboard","3582","5146429","5146428","",""
"526","powershell","95330","3625257","3609160","",""
"527","cmdlets","429","5237269","5237268","",""
"529","installation","27405","8857134","8857133","",""
"531","scripting","16451","5526635","5526634","",""
"536","hosting","5299","6254365","6254364","",""
"538","erlang","9196","3625258","3607505","",""
"540","verification","1301","7305797","7305796","",""
"541","getter","1712","7532733","7532732","",""
"542","setter","1634","7481581","7481580","",""
"543","optimization","34753","5112271","5112270","",""
"545","shortcuts","431","33797871","33797870","",""
"547","xen","426","5708222","5708221","",""
"548","virtualization","2299","8339038","8339037","",""
"549","ubuntu","54609","5022379","5022378","",""
"552","mono","9861","3625259","3607237","",""
"555","formatting","12345","8801319","8801318","",""
"556","paging","2348","7983338","7983337","",""
"558","jxta","63","4953240","4953239","",""
"559","hsl","245","15094499","15094498","",""
"560","rgb","3250","5310939","5310938","",""
"562","turkish","170","6235454","6235453","",""
"564","modi","64","11629758","11629757","",""
"565","dep","94","9962563","9962562","",""
"572","tree","15447","5047496","5047495","",""
"573","nslookup","237","9849738","9849737","",""
"578","recursion","41585","3724934","3724933","",""
"579","usability","885","5789238","5789237","",""
"580","perl","65853","3625260","3607675","",""
"581","hash","22552","5126927","5126925","",""
"582","each","3731","13440597","13440596","",""
"583","boot","1419","11481983","11481982","",""
"585","procedural","194","14724704","14724703","",""
"586","maintainability","296","13575473","13575472","",""
"588","comparison","7569","5804501","5804500","",""
"596","scalar","489","10074244","10074243","",""
"598","performance","94366","5048293","5048292","",""
"600","vmware","3165","5035375","5035374","",""
"601","cron","16447","5144066","5144065","",""
"602","settings","5018","10085602","10085601","",""
"603","time","27003","5674228","5674227","",""
"604","teamcity","5885","4890005","4890004","",""
"605","mbunit","248","6449532","6449531","",""
"606","diff","4349","7447211","7447210","",""
"607",".htaccess","70452","5034641","5034640","",""
"608","mod-rewrite","32035","3744959","3744958","",""
"609","mappath","17","","","",""
"614","fogbugz","176","3898323","3898322","",""
"618","midi","1813","3767445","3767444","",""
"619","interface-design","31","","","",""
"623","complexity-theory","3569","5786559","5786558","",""
"624","big-o","5978","5110603","5110602","",""
"627","service","22253","8104635","8104634","",""
"628","reduce","2798","12756357","12756356","",""
"629","ienumerable","3317","6428616","6428615","",""
"630","ienumerator","351","13442719","13442718","",""
"631","foreach","23476","5479110","5479109","",""
"633","vpn","3114","5488897","5488896","",""
"638","explorer","1107","13318478","13318477","",""
"640","maps","8767","9679981","9679980","",""
"641","ssl","46866","5124516","5124515","",""
"642","https","23287","4985338","4985337","",""
"643","iframe","31011","5107916","5107915","",""
"644","xhtml","6678","5012850","5012849","",""
"645","markup","1303","5947383","5947382","",""
"646","http-referer","550","7966603","7966602","",""
"647","orm","17956","5253532","5253531","",""
"650","rake","4320","5150783","5150782","",""
"652","clickonce","3242","5818465","5818464","",""
"655","sap","2578","5564122","5564121","",""
"656","tortoisesvn","4817","3761153","3761152","",""
"657","integration","4863","9044250","9044249","",""
"658","upload","13629","8077660","8077659","",""
"659","project-planning","221","5214946","5214945","",""
"667","ram","2086","8301034","8301033","",""
"669","sharepoint","27383","3653617","3653616","",""
"671","privileges","1380","6058383","6058382","",""
"672","stsadm","55","","","",""
"673","impersonation","1444","5760471","5760470","",""
"674","markdown","7243","5319787","5319786","",""
"677","propertygrid","941","9793246","9793245","",""
"678","prototyping","145","24069516","24069515","",""
"680","wmi","4204","5231698","5231697","",""
"681","64-bit","5934","5600773","5600772","",""
"682","xelement","862","8357843","8357842","",""
"683","innerxml","13","15636822","15636821","",""
"684","replication","3669","8887271","8887270","",""
"685","audit","1059","10435517","10435516","",""
"688","session","43313","5088687","5088686","",""
"689","union","4885","6438218","6438217","",""
"691","firefox","37496","5253566","5253565","",""
"694","null","14824","5168462","5168461","",""
"696","profiler","1586","5751002","5751001","",""
"698","lamp","2102","5295381","5295380","",""
"700","port","6148","7260650","7260649","",""
"701","paradigms","278","13179115","13179114","",""
"706","smb","809","10441037","10441036","",""
"711","multilingual","3089","5402505","5402504","",""
"713","ear","1228","5783437","5783436","",""
"714","websphere","6852","5633069","5633068","",""
"716","rational-number","97","6235232","6235231","",""
"717","merge","21814","5143758","5143757","",""
"719","policy","1088","23071146","23071145","",""
"722","benchmarking","3207","6605689","6605688","",""
"723","evaluation","1184","19393093","19393092","",""
"724","file-io","20469","4996579","4996578","",""
"725","configuration","16857","5163171","5163170","",""
"727","webcam","2690","9213557","9213556","",""
"729","ado.net","9751","5042312","5042311","",""
"733","tfs","21499","3760798","3760797","",""
"735","messaging","2441","5408758","5408757","",""
"740","primitive","930","8021601","8021600","",""
"741","autoboxing","389","5559681","5559680","",""
"742","mobile","28364","6006809","6006808","",""
"743","sms","7343","4949738","4949737","",""
"752","wcf","50449","3624977","3607595","",""
"753","soa","1945","4987387","4987386","",""
"758","workflow","4891","5820815","5820814","",""
"759","sdk","13951","5506405","5506404","",""
"760","proxy","18292","5095179","5095178","",""
"761","gem","6249","5010171","5010170","",""
"766","dsl","2036","6852357","6852356","",""
"767","t4","1574","4830430","4830429","",""
"768","vsx","351","6127944","6127943","",""
"773","seo","7583","4044686","4044685","",""
"777","mapi","677","5708321","5708320","",""
"778","pinvoke","3668","6079938","6079937","",""
"781","intellisense","3815","5798029","5798028","",""
"782","xming","88","23180709","23180708","",""
"785","etag","580","6631433","6631432","",""
"787","olap","1626","5045182","5045181","",""
"790","filehelpers","440","5109911","5109910","",""
"792","xmp","233","9349112","9349111","",""
"793","qos","191","22350218","22350217","",""
"794","networking","35683","5253674","5253673","",""
"795","adsl","12","18105652","18105651","",""
"796","modem","730","11863348","11863347","",""
"802","mercurial","8152","3625261","3607049","",""
"804","java-native-interface","9304","4985098","4985097","",""
"815","ssp","50","","","",""
"816","search","35206","5609248","5609247","",""
"817","microcontroller","3277","3640939","3640938","",""
"820","jquery","1016634","3625262","3607053","",""
"823","x86","15061","4913044","4913043","",""
"824","assembly","38426","3640959","3640958","",""
"828","confirm","747","24723981","24723980","",""
"829","events","36054","4946849","4946848","",""
"831","virtual","3021","12207686","12207685","",""
"833","height","5964","7050447","7050446","",""
"834","schema","6796","9299844","9299843","",""
"835","ddl","2035","6973481","6973480","",""
"837","remoting","1147","7792057","7792056","",""
"838","wireless","1261","7077982","7077981","",""
"846","culture","788","13867660","13867659","",""
"847","joomla","15128","4262121","4262120","",""
"848","grails","29563","3702195","3702194","",""
"849","groovy","27298","3625263","3613160","",""
"852","resources","8967","5731220","5731219","",""
"853","hook","5184","6603930","6603929","",""
"854","matlab","91393","3625264","3609173","",""
"855","firebird","3430","3625265","3611668","",""
"856","interbase","331","8202727","8202726","",""
"859","lambda","26836","5329395","5329394","",""
"861","standards","3241","5887283","5887282","",""
"862","layout","25572","6063336","6063335","",""
"865","user-interface","52540","3625266","3623067","",""
"868","gwt","20779","3625267","3607729","",""
"869","charts","24297","7248730","7248729","",""
"873","logic","8326","4123852","4123851","",""
"874","lifecycle","1799","10428991","10428990","",""
"877","cmmi","33","4977745","4977744","",""
"881","zip","9014","5029522","5029521","",""
"883","sgml","130","10261345","10261344","",""
"886","leader","43","36106763","36106762","",""
"887","community-server","30","9385120","9385119","",""
"888","moss","897","5159796","5159795","",""
"889","winapi","38790","3625268","3609906","",""
"890","jsf","35457","3625269","3607511","",""
"891","microformats","161","11304049","11304048","",""
"896","desktop","2262","8906637","8906636","",""
"902","dojo","9269","3625270","3607512","",""
"904","post","38398","5599997","5599996","",""
"906","doctype","1060","6203807","6203806","",""
"908","xcode","151373","3625271","3607508","",""
"912","informix","2075","3625272","3607509","",""
"913","spl","348","5171774","5171773","",""
"914","wiki","1379","4998922","4998921","",""
"916","fonts","19532","5652503","5652502","",""
"921","firebug","2739","5078947","5078946","",""
"922","graphing","634","26635137","26635136","",""
"925","opera","1920","4890083","4890082","",""
"926","inheritance","39233","4913888","4913887","",""
"928","wysiwyg","2359","4985599","4985598","",""
"930","ms-access","53964","3625273","3607034","",""
"931","rcp","1648","5945732","5945731","",""
"932","jnlp","1375","4855416","4855415","",""
"934","compatibility","2822","5644706","5644705","",""
"935","dnsmasq","286","18020194","18020193","",""
"938","linker","12834","5128169","5128168","",""
"940","resume","533","8606453","8606452","",""
"942","logging","37108","3812354","3812352","",""
"946","uuid","2819","7085832","7085831","",""
"948","log4net","3945","3625275","3625274","",""
"952","helpfile","63","56226216","56226215","",""
"953","gltail","2","25220677","25220676","",""
"955","jobs","2462","8244801","8244800","",""
"962","scsf","45","7174965","7174964","",""
"964","customization","4307","7222178","7222177","",""
"965","plugins","24158","5650530","5650529","",""
"968","haml","3499","5218263","5218262","",""
"975","msdn","1063","8356675","8356674","",""
"976","sybase","3193","5551861","5551860","",""
"977","icalendar","2279","7046465","7046464","",""
"978","outlook","19576","5143722","5143721","",""
"980","gmail","9800","5772896","5772895","",""
"981","recurrence","950","9281322","9281321","",""
"982","timezone","11114","5828026","5828025","",""
"984","google-app-engine","46069","3624984","3609767","",""
"985","redistributable","208","","","",""
"989","aix","1737","6430172","6430171","",""
"990","awk","29838","3779364","3779363","",""
"991","scheme","7706","4075134","4075133","",""
"992","continuations","504","5725545","5725544","",""
"994","cocoa","39343","3624985","3608914","",""
"995","notifications","15165","6623727","6623726","",""
"996","ini","1559","6023817","6023816","",""
"997","plot","33295","8683770","8683769","",""
"1000","junit","25315","3861865","3861864","",""
"1001","testng","7964","5760258","5760257","",""
"1002","aop","3467","5045520","5045519","",""
"1004","icons","8751","5717639","5717638","",""
"1005","openjdk","781","9554192","9554191","",""
"1006","icedtea","37","12963787","12963786","",""
"1008","stringbuilder","1992","8168274","8168273","",""
"1009","string.format","541","21366941","21366940","",""
"1011","base64","10167","7422548","7422547","",""
"1012","debian","9354","5639199","5639198","",""
"1014","scaling","2309","6819781","6819780","",""
"1018","lua","19003","3624986","3607191","",""
"1022","corecon","6","","","",""
"1023","code-reuse","836","8358608","8358607","",""
"1024","singleton","8108","5251882","5251881","",""
"1026","construction","112","27443788","27443787","",""
"1030","shader","6258","6584052","6584051","",""
"1031","transcode","97","","","",""
"1032","flv","790","7635591","7635590","",""
"1033","mp3","4348","6562448","6562447","",""
"1034","mp4","2789","5037751","5037750","",""
"1040","repair","161","","","",""
"1042","parents","74","22931288","22931287","",""
"1044","relate","14","","","",""
"1046","xna","7302","3624987","3609267","",""
"1047","skins","76","18050554","18050553","",""
"1053","implementation","2035","9733726","9733725","",""
"1062","filenames","3790","5840302","5840301","",""
"1065","animation","41520","5643484","5643483","",""
"1066","continuous-integration","12123","4889970","4889969","",""
"1067","homebrew","5895","5404075","5404074","",""
"1071","extension-methods","3351","6308468","6308467","",""
"1072","caucho","18","18196322","18196321","",""
"1073","resin","168","10718851","10718850","",""
"1074","webserver","7761","7397479","7397478","",""
"1078","enums","20033","5036293","5036292","",""
"1079","flags","1346","20642027","20642026","",""
"1080","geometry","11618","7025387","7025386","",""
"1081","applet","7499","4855193","4855192","",""
"1082","swing","78725","3624988","3617964","",""
"1083","primes","2995","3954998","3954997","",""
"1084","whitespace","4057","9346559","9346558","",""
"1086","refactoring","7412","3624991","3624990","",""
"1090","stack","9925","5276946","5276945","",""
"1097","tagging","873","13400129","13400128","",""
"1098","favorites","229","","","",""
"1101","automake","1047","4998134","4998133","",""
"1102","autoconf","1079","6768082","6768081","",""
"1104","selenium","89448","3624992","3609793","",""
"1106","linq-to-objects","1349","6425840","6425839","",""
"1108","abap","2771","4958361","4958360","",""
"1110","expand","1214","23564122","23564121","",""
"1113","maintenance","475","22107800","22107799","",""
"1115","reorganize","64","","","",""
"1116","rebuild","311","","","",""
"1117","xaml","58685","4858030","4858029","",""
"1118","ws-security","920","17505019","17505018","",""
"1120","wgs84","145","8538643","8538642","",""
"1122","symlink","2279","8343733","8343732","",""
"1124","encoding","22688","5546228","5546227","",""
"1125","serialization","31108","4913700","4913699","",""
"1127","mergesort","2424","10321802","10321801","",""
"1130","msdtc","400","4568983","4568982","",""
"1132","powerpoint","6223","3681194","3681193","",""
"1134","dataview","716","20228890","20228889","",""
"1135","executable","3424","9733712","9733711","",""
"1136","swt","5983","3624995","3624994","",""
"1137","binding","16335","6488332","6488331","",""
"1138","myeclipse","431","9232665","9232664","",""
"1141","activerecord","27909","4985587","4985586","",""
"1145","inequality","237","41347654","41347653","",""
"1148","sysobjects","29","","","",""
"1151","select","37240","5623507","5623506","",""
"1153","w3c","1265","5648546","5648545","",""
"1156","printf","8534","5283941","5283940","",""
"1157","qstring","748","11844879","11844878","",""
"1158","qt","80062","3624996","3611154","",""
"1159","rsync","2301","7775094","7775093","",""
"1169","user-controls","10043","7933783","7933782","",""
"1170","fallback","474","14142113","14142112","",""
"1171","binary-log","41","","","",""
"1173","crc32","509","5827356","5827355","",""
"1175","extensibility","284","25064497","25064496","",""
"1176","pylons","833","5130101","5130100","",""
"1177","tabs","13615","5956792","5956791","",""
"1180","enterprise","1098","8182771","8182770","",""
"1182","entourage","10","25220705","25220704","",""
"1186","grammar","2998","5125148","5125147","",""
"1187","redundancy","440","11052061","11052060","",""
"1188","jboss","14822","5115454","5115453","",""
"1189","internet-explorer","39033","4890178","4890177","",""
"1190","redirect","38214","6030030","6030029","",""
"1198","f#","15920","3624997","3608098","",""
"1200","captcha","2636","5219084","5219083","",""
"1201","routing","14090","5126912","5126911","",""
"1202","procmail","167","7097527","7097526","",""
"1205","alert","4427","8151985","8151984","",""
"1206","storage","6095","10511120","10511119","",""
"1208","controls","8177","7011132","7011131","",""
"1211","spring","188064","3625321","3608862","",""
"1213","blogs","2720","5421989","5421988","",""
"1219","recycle-bin","220","14225352","14225351","",""
"1222","grouping","6456","7338699","7338698","",""
"1227","xpath","35717","3652558","3652557","",""
"1228","unhandled","157","31853232","31853231","",""
"1229","mixed","227","","","",""
"1230","instrumentation","1108","7264616","7264615","",""
"1231","command-line","22056","5135131","5135130","",""
"1232","server-response","91","","","",""
"1233","pear","1675","5310879","5310878","",""
"1234","mdi","909","6829029","6829028","",""
"1235","mfc","12381","3632741","3632740","",""
"1240","activereports","370","5354792","5354791","",""
"1241","adobe","5799","3668478","3668477","",""
"1242","acrobat","1498","7658950","7658949","",""
"1243","applescript","8072","4908855","4908854","",""
"1248","phppgadmin","153","13105797","13105796","",""
"1249","memcached","5115","5097223","5097222","",""
"1250","xmlsocket","39","","","",""
"1251","nic","291","10817132","10817131","",""
"1253","wss","672","4599524","4599523","",""
"1255","wia","270","8843419","8843418","",""
"1256","isight","38","5354142","5354141","",""
"1258","camera","13860","7933974","7933973","",""
"1259","conditional","6595","4913991","4913990","",""
"1263","datetime","62167","5600844","5600843","",""
"1264","varchar","1360","6826190","6826189","",""
"1269","yui","1795","4953855","4953854","",""
"1271","grep","15121","5094619","5094618","",""
"1279","ontime","53","","","",""
"1280","file-extension","1076","10975762","10975761","",""
"1281","dependencies","11283","7298219","7298218","",""
"1282","frontend","10074","5444104","5444103","",""
"1283","client","7769","9652687","9652686","",""
"1284","il","481","5277758","5277757","",""
"1285","offsite","12","","","",""
"1286","perforce","3057","3833101","3833100","",""
"1289","odbc","8700","5122638","5122637","",""
"1290","sftp","4600","8342154","8342153","",""
"1292","static","15500","6517620","6517619","",""
"1294","quickbooks","1819","4714611","4714610","",""
"1295","accounting","329","8507284","8507283","",""
"1299","monitoring","4178","6894540","6894539","",""
"1300","icefaces","800","4940849","4940848","",""
"1301","iis-7","9480","5124505","5124504","",""
"1303","ilmerge","353","5091259","5091258","",""
"1307","datagrid","15323","5584428","5584427","",""
"1310","wap","129","19260025","19260024","",""
"1311","wml","63","17558329","17558328","",""
"1313","openbsd","214","5654602","5654601","",""
"1314","xinc","5","9401104","9401103","",""
"1315","postback","2696","5976177","5976176","",""
"1317","production","1469","16594928","16594927","",""
"1318","history","1585","6813130","6813129","",""
"1320","mixed-mode","250","10991504","10991503","",""
"1324","directoryservices","744","5735095","5735094","",""
"1326","svg","39147","4804745","4804744","",""
"1327","vml","259","7640378","7640377","",""
"1336","ccombobox","53","26910689","26910688","",""
"1337","hidden","2029","5637855","5637854","",""
"1341","flexbuilder","726","7659282","7659281","",""
"1342","textmate","1104","5308191","5308190","",""
"1343","rights","236","10497633","10497632","",""
"1346","mootools","2593","3624998","3607671","",""
"1349","erp","724","5069512","5069511","",""
"1350","tag-soup","53","18793937","18793936","",""
"1353","microsoft-dynamics","2694","5887513","5887512","",""
"1355","reverse","3341","14406237","14406236","",""
"1357","parsing","53593","3624999","3614979","",""
"1358","normalizing","39","","","",""
"1362","automation","19891","7015321","7015320","",""
"1363","project-management","1531","7930366","7930365","",""
"1364","containers","9121","9733513","9733512","",""
"1366","color-scheme","857","12121265","12121264","",""
"1372","gps","10060","5065630","5065629","",""
"1376","user-agent","2247","5279557","5279556","",""
"1378","pagination","16369","6867110","6867109","",""
"1380","phpunit","9331","3962712","3962711","",""
"1381","multithreading","131014","4933608","4933607","",""
"1383","png","6265","5304784","5304783","",""
"1384","transparency","3388","6669465","6669464","",""
